Elapsed time,AECG1,AECG2,AECG3,AECG4
'0:00.000',-3.3,-6.7,3,-3.5
'0:00.001',-3.8,-6.7,3,-3.5
'0:00.002',-4.4,-6.8,3.2,-3.5
'0:00.003',-5,-6.9,3.2,-3.6
'0:00.004',-5.6,-6.9,3.3,-3.7
'0:00.005',-6.2,-6.9,3.4,-3.9
'0:00.006',-6.8,-7,3.4,-4
'0:00.007',-7.4,-7.1,3.5,-4.2
'0:00.008',-8,-7.2,3.5,-4.3
'0:00.009',-8.6,-7.3,3.5,-4.5
'0:00.010',-9,-7.4,3.5,-4.6
'0:00.011',-9.4,-7.5,3.6,-4.8
'0:00.012',-9.8,-7.7,3.6,-5
'0:00.013',-10.2,-8,3.7,-5.3
'0:00.014',-10.5,-8.3,3.8,-5.7
'0:00.015',-10.8,-8.5,3.9,-6.1
'0:00.016',-11.1,-8.8,4,-6.3
'0:00.017',-11.4,-9,4.2,-6.5
'0:00.018',-11.6,-9.1,4.3,-6.5
'0:00.019',-11.9,-9.3,4.4,-6.6
'0:00.020',-12.2,-9.4,4.5,-6.6
'0:00.021',-12.6,-9.4,4.6,-6.7
'0:00.022',-12.9,-9.3,4.7,-6.6
'0:00.023',-13.2,-9.1,4.8,-6.4
'0:00.024',-13.5,-8.9,4.9,-5.9
'0:00.025',-13.8,-8.8,5.1,-5.3
'0:00.026',-14.2,-8.5,5.1,-4.7
'0:00.027',-14.6,-8.1,5.2,-4.1
'0:00.028',-15,-7.7,5.3,-3.6
'0:00.029',-15.3,-7.2,5.4,-3.2
'0:00.030',-15.5,-6.8,5.5,-2.7
'0:00.031',-15.7,-6.5,5.6,-2.2
'0:00.032',-16,-6.3,5.7,-1.9
'0:00.033',-16.3,-6.1,5.8,-1.8
'0:00.034',-16.6,-5.8,5.9,-1.8
'0:00.035',-17,-5.6,6,-1.8
'0:00.036',-17.3,-5.7,6.2,-1.9
'0:00.037',-17.5,-6.2,6.3,-1.9
'0:00.038',-17.7,-7.1,6.4,-2.1
'0:00.039',-17.9,-8,6.5,-2.2
'0:00.040',-18.2,-8.8,6.6,-2.4
'0:00.041',-18.3,-9.4,6.6,-2.6
'0:00.042',-18.5,-9.9,6.7,-2.6
'0:00.043',-18.6,-10.5,6.7,-2.7
'0:00.044',-18.8,-11.2,6.8,-2.9
'0:00.045',-18.9,-11.9,6.8,-3
'0:00.046',-18.9,-12.3,6.9,-3.2
'0:00.047',-19,-12.6,6.9,-3.3
'0:00.048',-18.9,-12.6,6.9,-3.4
'0:00.049',-18.9,-12.4,6.9,-3.4
'0:00.050',-18.7,-12.2,6.8,-3.3
'0:00.051',-18.6,-11.9,6.6,-3.3
'0:00.052',-18.4,-11.4,6.4,-3.2
'0:00.053',-18.2,-10.7,6.3,-3.3
'0:00.054',-17.9,-9.8,6.1,-3.4
'0:00.055',-17.7,-8.8,5.9,-3.5
'0:00.056',-17.4,-8,5.8,-3.6
'0:00.057',-17.1,-7.4,5.6,-3.7
'0:00.058',-16.8,-7,5.4,-3.8
'0:00.059',-16.4,-6.6,5.2,-3.8
'0:00.060',-16.1,-6.4,5,-4
'0:00.061',-15.7,-6.1,4.8,-4.1
'0:00.062',-15.3,-6,4.7,-4.3
'0:00.063',-14.9,-6.1,4.5,-4.5
'0:00.064',-14.5,-6.4,4.4,-4.6
'0:00.065',-14.1,-6.9,4.2,-4.8
'0:00.066',-13.6,-7.3,4.1,-5
'0:00.067',-13.2,-7.8,4,-5.2
'0:00.068',-12.8,-8.3,3.9,-5.3
'0:00.069',-12.4,-8.6,3.8,-5.4
'0:00.070',-12.1,-8.9,3.7,-5.4
'0:00.071',-11.8,-9.1,3.6,-5.3
'0:00.072',-11.6,-9.2,3.5,-5.3
'0:00.073',-11.3,-9.3,3.4,-5.3
'0:00.074',-11.1,-9.3,3.2,-5.2
'0:00.075',-10.9,-9.1,3.1,-5.2
'0:00.076',-10.7,-8.9,3,-5.2
'0:00.077',-10.5,-8.6,3,-5.1
'0:00.078',-10.3,-8.4,2.9,-4.9
'0:00.079',-10.1,-8.1,2.8,-4.7
'0:00.080',-9.9,-7.8,2.7,-4.4
'0:00.081',-9.8,-7.4,2.5,-4
'0:00.082',-9.8,-6.9,2.3,-3.6
'0:00.083',-9.7,-6.3,2.2,-3.2
'0:00.084',-9.7,-5.7,2.1,-2.7
'0:00.085',-9.6,-5.2,2.1,-2.2
'0:00.086',-9.4,-4.8,2,-1.7
'0:00.087',-9.2,-4.4,1.9,-1.3
'0:00.088',-9,-4,1.8,-0.9
'0:00.089',-8.7,-3.6,1.8,-0.6
'0:00.090',-8.3,-3.3,1.7,-0.3
'0:00.091',-7.8,-3,1.6,-0.1
'0:00.092',-7.2,-2.8,1.5,0.1
'0:00.093',-6.5,-2.6,1.5,0.2
'0:00.094',-5.9,-2.4,1.4,0.2
'0:00.095',-5.2,-2.3,1.3,0.2
'0:00.096',-4.6,-2.2,1.2,0
'0:00.097',-4,-2,1.1,-0.2
'0:00.098',-3.5,-1.9,0.9,-0.4
'0:00.099',-3,-1.7,0.8,-0.5
'0:00.100',-2.5,-1.5,0.6,-0.7
'0:00.101',-2,-1.4,0.4,-0.8
'0:00.102',-1.5,-1.3,0.3,-0.9
'0:00.103',-1,-1.2,0.2,-1
'0:00.104',-0.6,-1.1,0,-1
'0:00.105',-0.3,-1,-0.1,-1
'0:00.106',0.1,-0.9,-0.2,-1
'0:00.107',0.3,-0.7,-0.3,-1
'0:00.108',0.6,-0.4,-0.4,-0.9
'0:00.109',0.8,-0.2,-0.5,-0.9
'0:00.110',1,0.1,-0.7,-0.8
'0:00.111',1.2,0.2,-0.7,-0.7
'0:00.112',1.4,0.2,-0.8,-0.6
'0:00.113',1.6,0.1,-0.9,-0.5
'0:00.114',1.8,0,-1,-0.4
'0:00.115',1.9,-0.1,-1,-0.4
'0:00.116',2.1,-0.3,-1.1,-0.3
'0:00.117',2.2,-0.6,-1.2,-0.3
'0:00.118',2.3,-0.9,-1.2,-0.2
'0:00.119',2.5,-1.1,-1.3,-0.2
'0:00.120',2.7,-1.3,-1.3,-0.2
'0:00.121',2.8,-1.3,-1.4,-0.2
'0:00.122',2.9,-1.3,-1.4,-0.2
'0:00.123',3.1,-1.3,-1.4,-0.2
'0:00.124',3.2,-1.1,-1.5,-0.3
'0:00.125',3.4,-0.8,-1.6,-0.3
'0:00.126',3.5,-0.3,-1.6,-0.3
'0:00.127',3.7,0.3,-1.7,-0.3
'0:00.128',3.8,0.9,-1.7,-0.3
'0:00.129',3.9,1.5,-1.8,-0.3
'0:00.130',4,2.1,-1.8,-0.3
'0:00.131',4.1,2.7,-1.9,-0.3
'0:00.132',4.2,3.2,-1.9,-0.3
'0:00.133',4.3,3.6,-2,-0.3
'0:00.134',4.3,3.7,-1.9,-0.3
'0:00.135',4.4,3.6,-1.9,-0.3
'0:00.136',4.4,3.5,-1.9,-0.3
'0:00.137',4.5,3.5,-1.8,-0.3
'0:00.138',4.5,3.7,-1.8,-0.4
'0:00.139',4.5,3.8,-1.8,-0.4
'0:00.140',4.5,3.7,-1.8,-0.4
'0:00.141',4.5,3.4,-1.7,-0.2
'0:00.142',4.5,3.1,-1.7,0
'0:00.143',4.4,2.8,-1.7,0.2
'0:00.144',4.3,2.7,-1.7,0.4
'0:00.145',4.2,2.7,-1.7,0.6
'0:00.146',4.2,2.7,-1.7,0.7
'0:00.147',4.1,2.8,-1.7,0.9
'0:00.148',4,2.9,-1.7,1
'0:00.149',4,3,-1.6,1.1
'0:00.150',4,3.2,-1.6,1.2
'0:00.151',4,3.4,-1.7,1.4
'0:00.152',4,3.6,-1.8,1.5
'0:00.153',4.1,3.8,-1.8,1.5
'0:00.154',4.2,4.1,-1.9,1.4
'0:00.155',4.4,4.3,-1.9,1.3
'0:00.156',4.5,4.5,-1.8,1.2
'0:00.157',4.5,4.6,-1.9,1.3
'0:00.158',4.5,4.7,-1.9,1.4
'0:00.159',4.4,4.9,-1.9,1.5
'0:00.160',4.4,5,-1.9,1.4
'0:00.161',4.3,5.1,-1.8,1.1
'0:00.162',4.3,5.1,-1.8,0.9
'0:00.163',4.2,4.9,-1.7,0.7
'0:00.164',4.1,4.8,-1.7,0.7
'0:00.165',4,4.6,-1.6,0.8
'0:00.166',3.9,4.4,-1.6,0.7
'0:00.167',3.7,4.2,-1.5,0.6
'0:00.168',3.6,4,-1.4,0.6
'0:00.169',3.4,3.9,-1.3,0.7
'0:00.170',3.3,3.8,-1.2,0.8
'0:00.171',3.1,3.6,-1.1,1
'0:00.172',3,3.6,-0.9,1.3
'0:00.173',3,3.5,-0.8,1.5
'0:00.174',3,3.5,-0.6,1.7
'0:00.175',3,3.5,-0.3,2.1
'0:00.176',3.2,3.5,-0.1,2.5
'0:00.177',3.3,3.5,0.2,2.9
'0:00.178',3.5,3.5,0.6,3.4
'0:00.179',3.8,3.6,0.9,3.9
'0:00.180',4.1,3.7,1.4,4.4
'0:00.181',4.5,3.9,1.8,4.9
'0:00.182',4.9,4.1,2.2,5.4
'0:00.183',5.3,4.4,2.7,5.9
'0:00.184',5.7,4.7,3.1,6.4
'0:00.185',6,4.8,3.6,6.9
'0:00.186',6.3,5,4,7.4
'0:00.187',6.5,5.1,4.4,7.8
'0:00.188',6.8,5.2,4.9,8.2
'0:00.189',7,5.2,5.3,8.5
'0:00.190',7.1,5.1,5.7,8.7
'0:00.191',7.1,5,6,8.9
'0:00.192',7.1,4.9,6.4,9
'0:00.193',7,4.9,6.7,9.2
